,Budget,Cost,Block,DistTravel(mi),DesignatedPOD
0,225000,10000,0,5.156997531,17
1,225000,10000,1,3.164102083,1
2,225000,10000,2,6.146933137,17
3,225000,10000,3,7.259555397,17
4,225000,10000,4,5.928945508,39
5,225000,10000,5,7.324457417,17
6,225000,10000,6,5.806256647,17
7,225000,10000,7,5.586077287,39
8,225000,10000,9,3.673955994,39
9,225000,10000,10,3.436549584,39
10,225000,10000,11,6.437575307,17
11,225000,10000,12,4.86412519,17
12,225000,10000,13,4.945211226,17
13,225000,10000,14,4.706878737,17
14,225000,10000,15,5.092411964,17
15,225000,10000,16,3.86931446,17
16,225000,10000,17,4.654813024,17
17,225000,10000,18,2.680916747,17
18,225000,10000,19,2.556243684,17
19,225000,10000,20,2.210446004,17
20,225000,10000,21,1.564886533,17
21,225000,10000,22,1.89867605,17
22,225000,10000,23,0.96078953,17
23,225000,10000,24,0.861908782,17
24,225000,10000,25,1.259198226,17
25,225000,10000,26,1.531506637,17
26,225000,10000,27,1.622246026,17
27,225000,10000,28,1.372781746,17
28,225000,10000,29,1.273377639,17
29,225000,10000,30,1.267745222,17
30,225000,10000,31,7.240220713,17
31,225000,10000,32,7.052339232,17
32,225000,10000,33,7.80309011,17
33,225000,10000,37,3.844992884,17
34,225000,10000,40,5.638097421,17
35,225000,10000,41,3.642604221,17
36,225000,10000,42,4.082375859,17
37,225000,10000,44,6.83812825,17
38,225000,10000,51,9.290112439,1
39,225000,10000,52,8.151112139,17
40,225000,10000,57,3.985230405,17
41,225000,10000,58,5.342991913,17
42,225000,10000,59,4.706595466,17
43,225000,10000,60,4.776000786,17
44,225000,10000,62,4.429846539,39
45,225000,10000,63,3.226288241,39
46,225000,10000,68,4.740407095,17
47,225000,10000,69,6.555740434,17
48,225000,10000,70,4.139158045,17
49,225000,10000,71,3.717291345,17
50,225000,10000,72,3.987306765,17
51,225000,10000,74,4.425780319,17
52,225000,10000,77,4.239200335,1
53,225000,10000,81,4.942538162,17
54,225000,10000,86,5.385721948,17
55,225000,10000,93,7.224523436,17
56,225000,10000,94,7.485036513,17
57,225000,10000,95,6.663966584,17
58,225000,10000,96,7.134972622,17
59,225000,10000,97,5.34107943,17
60,225000,10000,103,5.137739552,17
61,225000,10000,106,6.871464543,17
62,225000,10000,107,7.130085848,1
63,225000,10000,108,7.560934232,39
64,225000,10000,109,7.374861819,17
65,225000,10000,110,5.15369599,17
66,225000,10000,113,6.323959271,17
67,225000,10000,115,7.481794667,39
68,225000,10000,116,4.093421999,39
69,225000,10000,117,8.272729068,39
70,225000,10000,118,7.853796085,17
71,225000,10000,120,2.910876862,39
72,225000,10000,121,2.635206879,17
73,225000,10000,122,8.593320257,17
74,225000,10000,126,3.438519798,39
75,225000,10000,131,7.537150649,17
76,225000,10000,165,6.507623722,1
77,225000,10000,174,5.147587177,39
78,225000,10000,176,3.829199303,39
79,225000,10000,177,4.779239244,17
80,225000,10000,178,7.349562093,17
81,225000,10000,179,5.468217635,17
82,225000,10000,185,2.878256065,17
83,225000,10000,191,7.735503523,1
84,225000,10000,212,2.58912854,17
85,225000,10000,227,7.48352561,17
86,225000,10000,244,4.468751965,17
87,225000,10000,253,6.099223537,39
88,225000,10000,258,1.635467102,17
