,Budget,Cost,POD,Days Open
0,225000,10000,1,0.0
1,225000,10000,2,0.0
2,225000,10000,5,0.0
3,225000,10000,10,0.0
4,225000,10000,17,29.874878167641327
5,225000,10000,27,0.0
6,225000,10000,28,0.0
7,225000,10000,29,0.0
8,225000,10000,39,14.425
9,225000,10000,40,0.0
10,225000,10000,44,0.0
11,250000,10000,1,6.067592592592592
12,250000,10000,2,0.0
13,250000,10000,5,0.0
14,250000,10000,10,0.0
15,250000,10000,17,24.00134015594542
16,250000,10000,27,0.0
17,250000,10000,28,0.0
18,250000,10000,29,0.0
19,250000,10000,39,22.22939814814815
20,250000,10000,40,0.0
21,250000,10000,44,1.6076388888888888
22,275000,10000,1,15.232870370370373
23,275000,10000,2,0.0
24,275000,10000,5,0.0
25,275000,10000,10,0.0
26,275000,10000,17,18.53654970760234
27,275000,10000,27,0.0
28,275000,10000,28,0.0
29,275000,10000,29,0.0
30,275000,10000,39,24.25324074074074
31,275000,10000,40,0.0
32,275000,10000,44,20.49074074074074
33,300000,10000,1,21.684722222222224
34,300000,10000,2,0.0
35,300000,10000,5,0.0
36,300000,10000,10,0.0
37,300000,10000,17,15.54471247563353
38,300000,10000,27,3.513888888889227
39,300000,10000,28,0.0
40,300000,10000,29,0.0
41,300000,10000,39,23.85925925925926
42,300000,10000,40,0.0
43,300000,10000,44,28.604166666666668
44,350000,10000,1,29.862500000000004
45,350000,10000,2,0.0
46,350000,10000,5,0.0
47,350000,10000,10,0.0
48,350000,10000,17,12.89498050682261
49,350000,10000,27,9.69312169312168
50,350000,10000,28,29.716049382716054
51,350000,10000,29,0.0
52,350000,10000,39,17.988194444444446
53,350000,10000,40,0.0
54,350000,10000,44,29.586805555555557
55,400000,10000,1,23.71990740740741
56,400000,10000,2,0.0
57,400000,10000,5,0.0
58,400000,10000,10,10.258267195767196
59,400000,10000,17,10.854166666666668
60,400000,10000,27,13.251322751322752
61,400000,10000,28,29.94753086419752
62,400000,10000,29,29.79012345679012
63,400000,10000,39,11.952083333333334
64,400000,10000,40,0.0
65,400000,10000,44,29.864583333333385
66,500000,10000,1,28.15601851851852
67,500000,10000,2,5.816468253968255
68,500000,10000,5,3.4687499999999387
69,500000,10000,10,10.05952380952517
70,500000,10000,17,2.5705409356727817
71,500000,10000,27,26.163359788359788
72,500000,10000,28,29.962962962962834
73,500000,10000,29,29.78240740740741
74,500000,10000,39,10.476388888888888
75,500000,10000,40,9.424768518518517
76,500000,10000,44,29.858796296296298
77,600000,10000,1,27.971296296296295
78,600000,10000,2,9.013558201058201
79,600000,10000,5,1.730324074074074
80,600000,10000,10,12.44675925925926
81,600000,10000,17,2.2528021442495128
82,600000,10000,27,27.56084656084656
83,600000,10000,28,29.811728395061728
84,600000,10000,29,29.749999999999883
85,600000,10000,39,9.480324074074074
86,600000,10000,40,6.136574074074074
87,600000,10000,44,29.996527777777608
