GEOID,Population,PopDensity
420035626002,988,0.170556553
420039807001,0,0
420035627001,421,0.112355352
420032615002,924,0.117718103
420030709003,801,0.363262011
420039806001,13,0.001322373
420035616001,305,0.093844999
420031401003,282,0.096807083
420034268003,1350,0.092873634
420031517003,566,0.346395589
420031517004,635,0.40400056
420031609002,1957,0.232741509
420031702001,527,0.132297713
420031702003,1319,0.732965091
420031706001,460,0.13633548
420031706002,685,0.37077934
420031807003,761,0.556530642
420031903001,1042,0.233050184
420031916002,906,0.183043985
420031916005,1148,0.273145383
420031917001,1935,0.131309827
420031917002,678,0.45740346
420031917003,803,0.330054708
420031918002,564,0.373072623
420031918004,758,0.363085943
420031918005,721,0.274892864
420031918006,887,0.279090549
420031918007,640,0.362464532
420031919001,817,0.389929603
420031919002,651,0.352763313
420031919003,591,0.275247303
420032406001,1571,0.216453199
420032406002,755,0.154536095
420032412001,282,0.054224825
420034530043,2207,0.052907706
420035639003,858,0.388021092
420034690003,1718,0.063206195
420032904004,859,0.232189146
420034882001,1939,0.129402367
420035523002,274,0.104278065
420035626003,971,0.129545776
420031915002,1202,0.43777862
420031914002,1053,0.185389935
420039809001,1313,0.089685976
420035625002,196,0.041551922
420034751021,1581,0.086556813
420034753014,816,0.116814068
420034782003,1758,0.369179594
420034721001,1309,0.402109771
420035614004,1434,0.340737361
420035639004,1025,0.197993409
420039801001,0,0
420030901002,566,0.18530523
420035645001,1547,0.01672297
420035645002,791,0.011962164
420034970001,1008,0.008111159
420034962003,1907,0.028105491
420033001006,517,0.425409364
420035617001,201,0.024988407
420035617002,601,0.223997138
420035616003,764,0.366145883
420034994003,884,0.254699993
420035623001,306,0.134415097
420031517005,932,0.582161619
420035644001,734,0.038446469
420034884002,1279,0.258433959
420034884003,601,0.403006793
420034885001,851,0.05186839
420035631001,1067,0.117384063
420035630003,801,0.158943709
420033001005,742,0.608396195
420035624004,248,0.08174863
420035624003,348,0.282146911
420034762003,1134,0.208670306
420035631002,2159,0.245306064
420034752001,785,0.095180819
420035644005,558,0.095718895
420039808001,0,0
420034722002,594,0.462616822
420034731002,803,0.267713963
420035644006,564,0.049757301
420031911001,1089,0.153726057
420034869001,954,0.317238627
