,Budget,Cost,POD,Days Open
0,225000,10000,0,0.0
1,225000,10000,1,0.0
2,225000,10000,2,0.0
3,225000,10000,3,0.0
4,225000,10000,4,23.559576023391816
5,225000,10000,5,0.0
6,225000,10000,6,0.0
7,225000,10000,7,0.0
8,225000,10000,8,26.424074074074074
9,225000,10000,9,0.0
10,225000,10000,10,0.0
11,250000,10000,0,0.0
12,250000,10000,1,0.0
13,250000,10000,2,0.0
14,250000,10000,3,0.0
15,250000,10000,4,18.582115009746587
16,250000,10000,5,17.21759259259259
17,250000,10000,6,0.0
18,250000,10000,7,0.0
19,250000,10000,8,29.85509259259259
20,250000,10000,9,0.0
21,250000,10000,10,0.0
22,275000,10000,0,0.0
23,275000,10000,1,0.0
24,275000,10000,2,0.0
25,275000,10000,3,14.625661375661377
26,275000,10000,4,12.145955165692007
27,275000,10000,5,22.702380952380956
28,275000,10000,6,0.0
29,275000,10000,7,0.0
30,275000,10000,8,29.926157407407405
31,275000,10000,9,0.0
32,275000,10000,10,0.0
33,300000,10000,0,0.0
34,300000,10000,1,0.0
35,300000,10000,2,0.0
36,300000,10000,3,19.199404761904766
37,300000,10000,4,7.603192007797271
38,300000,10000,5,29.912698412698415
39,300000,10000,6,0.0
40,300000,10000,7,0.0
41,300000,10000,8,28.767824074074074
42,300000,10000,9,10.160879629629635
43,300000,10000,10,0.0
44,350000,10000,0,29.995833333333334
45,350000,10000,1,0.0
46,350000,10000,2,8.673617379884035e-19
47,350000,10000,3,17.015211640211643
48,350000,10000,4,3.590765107212475
49,350000,10000,5,29.20436507936508
50,350000,10000,6,0.0
51,350000,10000,7,0.0
52,350000,10000,8,21.2375
53,350000,10000,9,0.0
54,350000,10000,10,29.98611111111111
55,400000,10000,0,29.902314814814815
56,400000,10000,1,0.0
57,400000,10000,2,0.0
58,400000,10000,3,15.215608465608469
59,400000,10000,4,2.6638645224171533
60,400000,10000,5,27.681878306878307
61,400000,10000,6,0.0
62,400000,10000,7,29.998456790123456
63,400000,10000,8,16.730092592592595
64,400000,10000,9,9.03009259259259
65,400000,10000,10,29.966435185185187
66,500000,10000,0,30.0
67,500000,10000,1,0.3452380952380953
68,500000,10000,2,0.44212962962962965
69,500000,10000,3,15.337962962962896
70,500000,10000,4,1.8806042884990257
71,500000,10000,5,29.971560846560827
72,500000,10000,6,29.99691358024691
73,500000,10000,7,29.99074074074074
74,500000,10000,8,10.983796296296351
75,500000,10000,9,12.027777777777777
76,500000,10000,10,29.995370370370363
77,600000,10000,0,29.99999999999996
78,600000,10000,1,0.34523809523809523
79,600000,10000,2,0.44212962962962965
80,600000,10000,3,15.337962962962584
81,600000,10000,4,1.8806042884990257
82,600000,10000,5,29.971560846560855
83,600000,10000,6,29.996913580246915
84,600000,10000,7,29.99074074074074
85,600000,10000,8,10.983796296296582
86,600000,10000,9,12.027777777777777
87,600000,10000,10,29.995370370370356
